"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","0","12","0"
"Language: en / US_11.01.06 | Educations > Menu item [Investmate app]","Country: au / Role: Reg/NoAuth / TS_11.01.06 | Educations > Menu item [Investmate app]","TC_11.01.06_01 | Testing QR code in Investmate block","0","0","1","0","0"
"Language: en / US_11.01.06 | Educations > Menu item [Investmate app]","Country: au / Role: Auth / TS_11.01.06 | Educations > Menu item [Investmate app]","TC_11.01.06_01 | Testing QR code in Investmate block","0","0","1","0","0"
"Language: en / US_11.01.06 | Educations > Menu item [Investmate app]","Country: au / Role: NoReg / TS_11.01.06 | Educations > Menu item [Investmate app]","TC_11.01.06_01 | Testing QR code in Investmate block","0","0","1","0","0"
