"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: fr","Country: gb / Role: NoReg","1","0","4","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: fr","Country: gb / Role: Auth","0","0","5","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: fr","Country: gb / Role: NoAuth","2","0","3","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: fr","Country: gb / Role: NoAuth","1","0","0","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: fr","Country: gb / Role: Auth","0","0","1","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: fr","Country: gb / Role: NoReg","1","0","0","0","0"
