"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","20","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: ae / Role: NoAuth","5","0","0","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: it","Country: gb / Role: Auth","1","0","0","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: ae / Role: Auth","1","0","0","0","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: es","Country: ae / Role: Auth","1","0","0","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: ae / Role: Auth","1","0","0","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: ae / Role: NoAuth","4","0","0","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: ae / Role: NoReg","1","0","0","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: ae / Role: Auth","3","0","0","0","0"
